matchId,matchRound,homeTeamName,homeTeamid,awayTeamName,awayTeamid,home_goals,away_goals,ball_possession_home,ball_possession_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,fouls_home,fouls_away,corners_home,corners_away,total_shots_home,total_shots_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,blocked_shots_home,blocked_shots_away,hit_woodwork_home,hit_woodwork_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,xG_home,xG_away,xG_open_play_home,xG_open_play_away,xG_set_play_home,xG_set_play_away,xG_non_penalty_home,xG_non_penalty_away,xGOT_home,xGOT_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,own_half_passes_home,own_half_passes_away,opposition_half_passes_home,opposition_half_passes_away,accurate_long_passes_home,accurate_long_passes_away,accurate_crosses_home,accurate_crosses_away,throws_home,throws_away,touches_opp_box_home,touches_opp_box_away,offsides_home,offsides_away,tackles_won_home,tackles_won_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,keeper_saves_home,keeper_saves_away,duel_won_home,duel_won_away,ground_duels_won_home,ground_duels_won_away,aerial_won_home,aerial_won_away,dribbles_succeeded_home,dribbles_succeeded_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away
5261475,1,Deportivo La Guaira,176496,Fluminense,9863,0,0,36,64,0,1,0,1,10,9,3,8,6,18,2,3,1,7,3,8,0,0,2,10,4,8,0.14,1.23,0.06,0.86,0.08,0.37,0.14,1.23,0.10,1.19,301,521,231 (77%),463 (89%),145,243,86,220,19 (34%),25 (68%),1 (17%),1 (5%),14,31,7,33,5,0,9,11,10,4,8,3,30,11,7,1,35,33,23 (49%),24 (51%),12 (57%),9 (43%),5 (56%),3 (60%),4,0,0,0
5261551,1,Independiente Rivadavia,161729,Bolivar,5983,1,0,36,64,3,1,3,1,9,7,5,1,12,8,7,3,4,3,1,2,1,0,8,4,4,4,1.38,0.76,1.19,0.72,0.19,0.04,1.38,0.76,0.49,0.28,256,472,203 (79%),405 (86%),82,285,121,120,17 (40%),20 (54%),5 (24%),4 (80%),26,17,31,10,5,0,7,17,9,5,2,1,13,34,3,4,23,44,17 (32%),36 (68%),6 (43%),8 (57%),5 (42%),10 (71%),1,0,0,1
5261554,1,Always Ready,805913,LDU de Quito,6721,0,1,62,38,1,2,1,1,13,9,8,4,21,15,12,8,5,2,4,5,1,0,9,8,12,7,0.70,1.66,0.62,0.86,0.08,0.79,0.70,1.66,0.84,0.39,421,269,376 (89%),204 (76%),172,117,204,87,43 (69%),21 (50%),10 (27%),3 (33%),17,18,25,16,4,1,7,11,17,10,5,4,14,23,1,5,30,39,19 (43%),25 (57%),11 (44%),14 (56%),3 (33%),5 (63%),3,4,0,0
5261552,1,Barcelona SC,6453,Cruzeiro,9781,0,1,55,45,0,4,0,3,16,12,5,0,18,5,6,2,2,3,10,0,0,0,9,5,9,0,0.52,2.13,0.35,1.49,0.17,0.64,0.52,2.13,0.09,1.72,363,322,288 (79%),235 (73%),111,116,177,119,29 (49%),17 (30%),10 (31%),2 (25%),23,22,25,13,4,2,8,13,11,4,0,10,19,45,2,2,47,57,24 (40%),36 (60%),23 (52%),21 (48%),6 (67%),8 (67%),1,2,0,0
5261533,1,Universidad Catolica,6458,Boca Juniors,10077,1,2,45,55,3,2,2,1,13,12,6,2,10,7,5,3,3,4,2,0,0,0,5,5,5,2,0.80,0.97,0.30,0.88,0.50,0.09,0.80,0.97,1.09,1.70,382,489,319 (84%),422 (86%),182,275,137,147,24 (59%),19 (36%),6 (24%),2 (20%),17,13,12,7,0,2,17,12,7,11,1,2,15,25,1,2,46,39,35 (55%),29 (45%),11 (52%),10 (48%),6 (67%),6 (38%),4,2,0,0
5261549,1,Tolima,1894,Universitario de Deportes,4409,0,0,66,34,1,0,1,0,13,13,5,5,9,11,3,5,4,3,2,3,0,0,4,5,5,6,0.41,0.64,0.41,0.44,0.00,0.20,0.41,0.64,0.64,0.72,485,230,417 (86%),158 (69%),178,46,239,112,17 (50%),23 (36%),1 (6%),3 (13%),25,25,16,18,2,0,14,16,8,5,3,2,31,26,3,4,40,44,32 (48%),35 (52%),8 (47%),9 (53%),7 (58%),7 (47%),0,0,0,0
5261550,1,Coquimbo Unido,4062,Nacional,8304,1,1,68,32,2,1,1,0,13,8,11,7,16,7,3,2,8,2,5,3,0,0,12,6,4,1,1.59,0.45,0.97,0.29,0.62,0.16,1.59,0.45,1.67,0.55,444,205,355 (80%),125 (61%),160,49,195,76,24 (46%),25 (43%),9 (25%),3 (15%),28,22,24,10,6,1,17,20,10,10,4,6,29,36,0,6,52,63,34 (49%),36 (51%),18 (40%),27 (60%),9 (45%),4 (33%),2,2,0,0
5261510,1,Mirassol,163782,Lanus,10082,1,0,45,55,1,0,1,0,16,7,5,8,13,6,7,2,3,2,3,2,0,0,5,3,8,3,0.43,0.33,0.34,0.01,0.10,0.32,0.43,0.33,0.31,0.06,336,404,272 (81%),325 (80%),150,178,122,147,16 (43%),29 (45%),4 (29%),6 (23%),19,23,17,10,1,0,21,24,3,6,2,2,30,21,2,2,54,55,30 (42%),42 (58%),24 (65%),13 (35%),4 (24%),4 (33%),3,1,0,1
5261548,1,Independiente Medellin,2528,Estudiantes,10094,1,1,64,36,2,1,1,1,13,16,7,1,12,10,6,4,5,4,1,2,0,0,6,4,6,6,0.67,0.44,0.27,0.35,0.40,0.09,0.67,0.44,1.25,0.40,395,227,326 (83%),156 (69%),172,66,154,90,33 (55%),15 (33%),7 (30%),3 (50%),12,20,21,12,0,1,14,10,6,4,2,1,23,33,3,4,44,47,35 (58%),25 (42%),9 (29%),22 (71%),5 (56%),2 (33%),2,5,0,0
5261547,1,Cusco FC,305171,Flamengo,9770,0,2,50,50,1,4,1,2,12,7,5,7,8,19,1,4,2,10,5,5,0,0,5,11,3,8,0.39,1.10,0.34,0.92,0.05,0.18,0.39,1.10,0.10,2.15,392,389,341 (87%),337 (87%),228,176,113,161,20 (43%),16 (48%),2 (11%),4 (27%),15,18,8,15,5,2,11,7,9,5,6,5,11,19,7,2,29,30,26 (53%),23 (47%),3 (30%),7 (70%),8 (62%),5 (38%),2,0,0,0
